farmer_id,farmer_name,region,farm_size_acres,contract_start_date,experience_years,contact_number,bank_account
F0285,Aradhana Butala,Kutch,34,2023-10-31,9,5446028075,GB43KVLD6473041484579
F0286,Zayan Aurora,Kutch,25,2023-07-23,8,914953760870,GB30MSUY0046184275813
F0287,Ekta Kothari,South Gujarat,12,2022-03-21,4,8830934814,GB02FMNT8546817906528
F0288,Tarak Kumar,North Gujarat,9,2023-05-04,8,913150632568,GB46GHDA9787160069232
F0289,Devika Borah,Kutch,37,2021-05-18,20,918650474031,GB56JEKR0633048794958
F0290,Dipta Kurian,North Gujarat,39,2024-07-03,4,8536184749,GB33RFZG0745674142217
F0291,Devansh Manda,South Gujarat,41,2022-02-12,20,2900783062,GB82RYMO3699116917941
F0292,Ridhi Muni,North Gujarat,21,2024-10-24,17,919788258340,GB38IBCZ2755147795037
F0293,Atharv Rai,Kutch,36,2021-12-03,21,2278365182,GB09FRFY6215473293826
F0294,Qabil Mangal,North Gujarat,49,2022-07-18,4,910414045605,GB21AAEF5302556575672
F0295,Neel Munshi,South Gujarat,26,2024-04-04,22,1845417761,GB55OQAV9344355133887
F0296,Chavvi Goda,Saurashtra,36,2024-01-29,8,918407030089,GB22MLOR5504170934431
F0297,Bhavini Atwal,North Gujarat,26,2021-12-13,3,7615155211,GB29ETPO1650032146332
F0298,Darpan Kapoor,Kutch,30,2023-09-01,17,3914328535,GB49VWKJ4132285394635
F0299,Ekantika Mohanty,South Gujarat,19,2021-08-09,12,2416984312,GB28XCMC3486115953965
F0300,Zehaan Naidu,Kutch,47,2023-04-15,21,6987667832,GB76FKOE4499020322131
F0301,Lucky Grover,Kutch,19,2024-09-16,19,6836094485,GB86YQZF8776297305151
F0302,Robert Panchal,North Gujarat,3,2024-10-05,7,918714202183,GB24DTQL6540912083489
F0303,Wahab Luthra,Kutch,36,2023-06-18,6,1938134877,GB17IVPH6159699449330
F0304,Vasatika Bora,North Gujarat,17,2023-08-04,12,914379760637,GB56GYLL4814763459981
F0305,Geetika Hari,Saurashtra,42,2023-06-26,19,7999934607,GB37JLFW1856239336195
F0306,Azad Raja,Kutch,37,2022-02-25,12,473476334,GB28AFFU7424451109431
F0307,Indali Sharaf,Kutch,34,2022-04-06,19,913119248077,GB82CBNT0392173212333
F0308,Faqid Brar,Kutch,5,2023-08-22,22,919352881408,GB98GJSL6821136334742
F0309,Vamakshi Dixit,Central Gujarat,34,2022-12-04,7,912669562725,GB39WOJF2994550084916
F0310,Jatin Malhotra,Central Gujarat,15,2021-12-11,4,910727281771,GB88RSKW9858703281496
F0311,Mohammed Bir,South Gujarat,22,2022-01-31,8,3476525927,GB96IRCS9650573659593
F0312,Rudra Chatterjee,Central Gujarat,49,2023-09-03,23,918942995659,GB78YOOY7688881631773
F0313,Ojas Keer,South Gujarat,21,2022-03-14,4,1229988337,GB78KRRV2366719967091
F0314,Elijah Dewan,Central Gujarat,9,2022-05-02,15,155320797,GB29IZRZ6581974787378
F0315,Nitesh Solanki,Saurashtra,8,2021-02-23,13,919246051103,GB14ISLE2211007024422
F0316,Rishi Tandon,South Gujarat,4,2023-06-26,13,918277673105,GB47XXBG8321565801164
F0317,Ekbal Batta,Central Gujarat,18,2023-02-17,18,4455251556,GB24IEPT1777762826071
F0318,Jagdish Raghavan,Saurashtra,34,2022-11-07,13,7968344833,GB58PVZD4144119405474
F0319,Aayush Walia,Central Gujarat,49,2022-03-23,21,8929763596,GB68ESAF7911619504508
F0320,Gaurang Jha,North Gujarat,13,2021-02-16,17,3687925513,GB49XKTG2892930145514
F0321,Yatin Sachdeva,North Gujarat,23,2024-02-18,18,916475378968,GB50PYIM3244187848700
F0322,Chandani Chad,Saurashtra,23,2021-08-21,13,9523852425,GB42XSFO4437097342011
F0323,Quincy Modi,Kutch,47,2024-06-13,24,2856442527,GB41PNAM1309090476408
F0324,Benjamin Dey,Kutch,31,2023-05-20,18,1597198906,GB58PZTU8448461808875
F0325,Abhimanyu Naidu,North Gujarat,39,2021-10-19,10,2320175597,GB15GEFF6939130296197
F0326,Kalpit Brahmbhatt,North Gujarat,39,2021-05-27,6,5707003231,GB16NISD5372094294604
F0327,Vritti Borde,Kutch,46,2024-11-07,10,918403079366,GB50QEOC9068138574157
F0328,Ranveer Purohit,South Gujarat,9,2022-05-13,6,4966722443,GB10LKQL2978954241072
F0329,Meghana Dave,Kutch,28,2021-04-01,5,5074409585,GB31JPCN9133657228455
F0330,Gautam Kari,Central Gujarat,28,2023-11-13,5,911141382043,GB74NRYZ3021195885865
F0331,Ira Kaul,South Gujarat,35,2022-11-26,20,916643043562,GB59PSCD1232936032116
F0332,Daksha Bains,Central Gujarat,22,2021-04-09,21,6034782020,GB67JHJC6391614488220
F0333,Yuvraj Vohra,North Gujarat,31,2024-05-23,21,914834071758,GB19NNEL1319531360345
F0334,Henry Majumdar,South Gujarat,34,2022-09-12,23,9583811929,GB33ADIU9028912367152
F0335,Ria Chhabra,Central Gujarat,29,2023-04-16,7,917207339164,GB60DDPO5177766225786
F0336,Baljiwan Balay,Central Gujarat,48,2024-10-02,20,8407457054,GB51DDMY5634980767799
F0337,Jhalak Ben,South Gujarat,34,2021-08-20,12,4706049868,GB68AQLI0523197307403
F0338,Gagan Ahluwalia,Saurashtra,6,2024-10-13,24,7968444172,GB35HJHD6877929553525
F0339,Daksh Kibe,Kutch,49,2022-07-21,23,6615813434,GB86OQRP2930616717715
F0340,Falguni Thaman,Central Gujarat,20,2023-02-28,8,913362905894,GB86KZPQ7888119021685
F0341,Adweta Desai,Kutch,5,2023-05-17,3,7768463736,GB03YCKG0787839937697
F0342,Anita Bhattacharyya,Kutch,36,2023-07-09,7,9815628343,GB70XYQI4982368365952
F0343,Chaitanya Krishnamurthy,North Gujarat,18,2024-08-01,11,9037240500,GB60NIAW7335176414725
F0344,Bhavani Khalsa,Kutch,45,2023-02-27,14,912934224912,GB05GVVY5911103998543
F0345,Gautam Yadav,Central Gujarat,29,2022-07-23,16,6478988315,GB60FIKN5581071974918
F0346,Samuel Zacharia,North Gujarat,31,2020-12-31,4,601761133,GB33RZKU1405108917360
F0347,Xiti Sinha,South Gujarat,30,2024-02-14,19,913690314541,GB46LHPE1439068895153
F0348,Chakrika Dutta,Central Gujarat,47,2023-07-10,16,912061521521,GB43UAPG6603407154751
F0349,Umang Borde,North Gujarat,7,2022-09-18,15,898748281,GB82HAKM3575858945714
F0350,Anvi Jhaveri,North Gujarat,36,2022-07-22,11,5904095012,GB71HVXZ3335646617069
F0351,Brinda Sarna,Kutch,42,2021-06-13,17,918759234477,GB75SEVJ2988837199373
F0352,Azad Choudhury,South Gujarat,38,2021-05-24,24,8378762364,GB69TKHG0798888522769
F0353,Ryan Ravel,Central Gujarat,25,2024-10-02,17,453850973,GB35ODCP9475249984130
F0354,Laksh Bala,Central Gujarat,30,2021-09-10,13,412585115,GB13ULFG9664998837094
F0355,Zehaan Kulkarni,Kutch,47,2022-03-23,18,3807479354,GB62HUFX4267099025398
F0356,Gagan Seth,South Gujarat,32,2022-08-25,19,2758093319,GB70OWLR0889182285803
F0357,Udant Dhar,Central Gujarat,36,2022-09-30,6,7124888035,GB63FWNG4721056464724
F0358,Hardik Karan,South Gujarat,34,2022-03-07,3,1698129221,GB21IHGI9035169646454
F0359,Saumya Narula,Central Gujarat,22,2024-10-06,10,8904764330,GB15WCGU7167952257637
F0360,Krish Apte,Kutch,33,2020-12-21,19,4226908222,GB33MNZF0614424683031
F0361,Faras Bumb,Saurashtra,24,2023-04-29,5,8320139905,GB63BTKD3503749603896
F0362,Niharika Patla,Central Gujarat,34,2022-10-19,22,2812516806,GB02UHYN0359187199028
F0363,Warda Rege,North Gujarat,4,2023-12-28,17,8114478457,GB79DTCY0873255767293
F0364,Maanav Devan,North Gujarat,19,2023-03-05,17,6116893451,GB17FHNH7054426852580
F0365,Anusha Bail,Saurashtra,26,2024-07-24,24,917495872490,GB32NEBL8347056382199
F0366,Raagini Chokshi,Central Gujarat,43,2023-06-29,16,917487456492,GB90DRJD1580783625572
F0367,Tanish Bera,North Gujarat,32,2023-11-30,16,2293997920,GB77DHVM0974405377446
F0368,Gautami Srivastava,North Gujarat,4,2021-12-17,4,7713539846,GB49OZYZ1527510713042
F0369,Unni Sampath,Central Gujarat,41,2024-07-16,15,5816800082,GB51LXRC2465766740367
F0370,Ranveer Raja,South Gujarat,47,2023-04-10,16,919623541905,GB58TDAH2028045134225
F0371,Ikshita Samra,Central Gujarat,25,2023-01-21,21,447132663,GB91HRKT2738474151949
F0372,Yashoda Wadhwa,South Gujarat,33,2022-04-22,9,7800222323,GB32FGBB8570220389508
F0373,Saanvi Lad,Saurashtra,48,2024-01-26,5,5243832425,GB95YMCC6903164470688
F0374,Karan Bhagat,Kutch,23,2022-03-14,17,303801993,GB52YZIB2795521772727
F0375,Jatin Varghese,Saurashtra,24,2022-03-29,16,915852160649,GB49NRNN1547713616212
F0376,Patrick Dugal,Kutch,3,2023-08-03,13,9160259631,GB84RFQZ8839627476652
F0377,Brijesh Korpal,North Gujarat,28,2022-02-22,17,917226175611,GB73DYZC4677649007284
F0378,Xiti Sha,North Gujarat,43,2021-08-21,15,917962957749,GB04ISVJ0382904915547
F0379,Bhavna Sankaran,North Gujarat,3,2022-09-23,20,3367812065,GB96MUMO9735083784403
F0380,Pahal Rajagopal,South Gujarat,27,2022-08-14,8,9586064488,GB17AGII6854391672769
F0381,Darsh Palla,Kutch,18,2022-10-27,5,910858168444,GB59WEUY5899782263914
F0382,Wyatt Patla,North Gujarat,41,2022-01-12,21,6064839640,GB66POZK1748401733384
F0383,Nilima Bali,Central Gujarat,34,2024-02-17,17,916427411815,GB26LFKA1988572980097
F0384,Balendra Zacharia,Kutch,10,2021-01-18,7,8978736219,GB40PSAJ9921827626846
F0385,Kamya Mukherjee,Kutch,44,2023-10-02,12,3776201159,GB26JMLB7613687835987
F0386,Ekta Vora,South Gujarat,49,2024-04-18,9,919894166198,GB38VTPB4684086928818
F0387,George Krishna,Saurashtra,40,2024-05-06,19,8305593751,GB85GIBL7636985862199
F0388,Mekhala Trivedi,South Gujarat,30,2022-05-26,9,8371285954,GB24PHUS2415076668228
F0389,Ladli Khalsa,North Gujarat,43,2023-08-24,24,911358230036,GB38JBDW8000377518330
F0390,Bhavani Parmar,Central Gujarat,27,2020-12-17,14,1690810340,GB40MQJG6265002780758
F0391,Upkaar Goswami,Central Gujarat,36,2022-04-29,19,4660003601,GB42IPWI7202466513212
F0392,Kala Parsa,North Gujarat,26,2022-02-03,15,9514635448,GB71HGTK8025506786344
F0393,Urmi Salvi,Central Gujarat,25,2023-02-20,22,3809862,GB88RQUF1175249019564
F0394,Mohammed Chad,South Gujarat,14,2022-03-22,6,915270730072,GB89QRGN2222238274085
F0395,Yatan Kala,South Gujarat,8,2022-10-25,12,9622230605,GB83XAUF1366635782251
F0396,Ranveer Subramanian,North Gujarat,37,2022-05-04,5,972558598,GB37NUHT2735404950426
F0397,Nimrat Amble,Central Gujarat,46,2023-06-30,11,918771557921,GB19EKGA2591232489636
F0398,Mugdha Rama,Kutch,21,2021-12-13,15,7592030339,GB40VEWJ1351000647928
F0399,Isaiah Patel,Saurashtra,2,2021-03-20,20,3189406571,GB29SXAK1673883008361
F0400,Oeshi Lala,Kutch,9,2022-08-05,17,7640455796,GB61HQMG2325703683903
F0401,Darsh Chad,South Gujarat,47,2022-05-09,6,911047424597,GB72OKWC8218800333973
F0402,Jatin Vala,South Gujarat,17,2023-04-14,17,915160158946,GB67OSEV5820328541856
F0403,Tanveer Varma,South Gujarat,15,2022-10-11,24,916695942767,GB31OAZB8461559964104
F0404,Neelima Basak,South Gujarat,13,2022-12-10,4,916749509528,GB46JVNL5012531204265
F0405,Ishanvi Hari,Saurashtra,24,2024-09-19,17,9302979897,GB10MZMJ9850202439310
F0406,Hritik Natt,North Gujarat,16,2023-03-12,10,1597946338,GB80RQUA9941795951410
F0407,Sara Mander,South Gujarat,29,2020-12-21,10,918973408826,GB81WLFG6576805758053
F0408,Triya Shah,Central Gujarat,35,2023-10-23,19,5583069033,GB74NADN2697745786026
F0409,Faris Srinivasan,Saurashtra,3,2024-04-10,14,490289380,GB59EBSA9341406165668
F0410,Waida Bose,South Gujarat,33,2024-05-31,21,6699838310,GB32XXLW4606455724772
F0411,Shaurya Bhatti,Central Gujarat,24,2024-01-18,12,4092436447,GB62CQVZ9239999790867
F0412,Orinder Aggarwal,South Gujarat,23,2023-02-18,11,2682950475,GB67MTTA1327538587995
F0413,Anjali Randhawa,North Gujarat,26,2021-12-18,7,4407078695,GB87ROAY0153887714952
F0414,Arin Lad,Saurashtra,23,2022-03-05,8,306980779,GB30NLHZ0097364638347
F0415,Nandini Yohannan,North Gujarat,23,2021-08-09,22,917027583938,GB57TPGM8268769025894
F0416,Umang Sridhar,Saurashtra,43,2023-07-04,4,911712547944,GB16HLCX9899964557984
F0417,Mohini Dhawan,South Gujarat,7,2023-10-27,15,2644564429,GB58CWWG2120542108510
F0418,Inaya Tandon,South Gujarat,16,2023-10-05,8,9305458038,GB20QMPL2089017838725
F0419,Eta Sridhar,Saurashtra,44,2022-12-03,7,918377163850,GB88YHVP1236891999187
F0420,Mitesh Sami,Central Gujarat,38,2024-06-17,3,6968310201,GB73EHKV4627869809066
F0421,Kai Sankaran,Central Gujarat,34,2022-09-07,23,918418235482,GB03LIRL9543372948540
F0422,Eshana Bains,South Gujarat,9,2022-09-25,24,3468482153,GB78GKYE8565997825820
F0423,Chanakya Kumer,South Gujarat,45,2022-08-15,23,7199683723,GB12CPII6227195831983
F0424,Manbir Nori,North Gujarat,45,2022-04-14,8,918994653080,GB97IYAF8925288549543
F0425,Tanmayi Basu,South Gujarat,6,2024-11-04,8,6326586262,GB81EOIZ7308374203314
F0426,Manbir Memon,Saurashtra,40,2021-04-25,18,914447365371,GB20IBSS8117187872579
F0427,Zaid Raj,Central Gujarat,5,2022-08-24,6,3924207375,GB86PCFN0135783936682
F0428,Yagnesh Hayre,Central Gujarat,7,2023-08-03,13,7423819103,GB97SIXU4244798631346
F0429,Tamanna Master,North Gujarat,46,2022-03-16,11,2838400206,GB56KWGN0131925273786
F0430,Ranbir Lall,Central Gujarat,33,2024-09-20,5,3346019887,GB63QQPD7274770253589
F0431,Hitesh Anand,Central Gujarat,31,2023-02-13,21,1672497083,GB15NIAT0145774469779
F0432,Yamini Gulati,Kutch,48,2023-01-06,10,2038111138,GB45OLRX8842097875005
F0433,Pranav Patla,Saurashtra,36,2022-10-09,7,5159486556,GB47ISBS1202871014676
F0434,Janani Behl,Kutch,41,2021-04-27,6,911162971160,GB28SNOJ0200513194219
F0435,Garima Nadkarni,Central Gujarat,17,2022-06-18,8,3580345560,GB96FHTY3858869512582
F0436,Theodore Pingle,North Gujarat,14,2023-11-06,4,914199257853,GB94HRDV3102423319758
F0437,Naksh Rastogi,North Gujarat,43,2024-03-30,22,2558673873,GB80PDIY2674943288832
F0438,Bakhshi Dani,Central Gujarat,31,2022-02-13,13,915222590606,GB96TITB3730315887272
F0439,Pushti Bhardwaj,South Gujarat,20,2023-05-23,6,910928315505,GB13VLZE0949919346525
F0440,Brijesh Chandran,Kutch,18,2022-03-31,17,919659783946,GB06DZNP2331928725302
F0441,Zayyan Saran,Central Gujarat,20,2021-02-12,8,6467510781,GB95ADFS8933562835363
F0442,Vasatika Bains,North Gujarat,29,2022-08-02,24,8953068754,GB35EUJS2607570929555
F0443,Lakshit Pandey,North Gujarat,27,2021-12-15,19,5352490688,GB57BLKO8695474680159
F0444,Ucchal Gulati,Kutch,38,2022-04-14,8,2786208537,GB39KZSU3331674983297
F0445,Janani Subramanian,Saurashtra,27,2021-08-20,21,1706883,GB54UFIW0608736266935
F0446,Daksh Dube,Central Gujarat,24,2022-09-05,4,8248920628,GB54XLHG6857183704853
F0447,Siya Rout,Central Gujarat,10,2021-04-10,17,1561741303,GB11NJKO2904609990314
F0448,Yoshita Gulati,Saurashtra,13,2023-02-07,13,37723736,GB37FWUP6254499483109
F0449,Yagnesh Lata,Kutch,2,2022-02-09,10,917773088143,GB06QLUZ8241359288438
F0450,Odika Banik,Kutch,2,2024-04-03,21,912842785861,GB79DAMA7472868704712
F0451,Anvi Pandey,North Gujarat,48,2022-09-26,15,8703433021,GB81MDAQ8503480855507
F0452,Quincy Majumdar,Saurashtra,35,2023-11-14,14,916462156698,GB24ZMCG2365415448102
F0453,Zayyan Barad,Kutch,33,2023-02-16,7,910107858560,GB05DSEF3721496380436
F0454,Hemal Gola,South Gujarat,49,2024-03-01,8,3429787446,GB38VPVU6118907750792
F0455,Chasmum Mukhopadhyay,Central Gujarat,26,2022-02-08,24,5809033408,GB08QOBK4229710223269
F0456,Ira Bhatt,North Gujarat,41,2023-02-10,6,4102527830,GB28DVEV1610242279432
F0457,Kavya Bhalla,Saurashtra,46,2023-11-03,21,5733787751,GB32KYYC6692014055814
F0458,Ladli Lall,North Gujarat,2,2022-06-24,22,916046516828,GB95YHPD2133243847023
F0459,Radhika Iyengar,Kutch,17,2024-01-07,3,9070243153,GB57BHKC1652732956055
F0460,William Tandon,Kutch,40,2021-03-17,22,3220032823,GB11SDUQ1942141279497
F0461,Yochana Buch,South Gujarat,6,2022-01-06,19,918146230940,GB33DAVN3645805762263
F0462,Rachana Pau,Central Gujarat,23,2021-08-11,14,6749053640,GB68MVGN2237976814021
F0463,Ishwar Mann,Saurashtra,30,2021-07-27,17,5751566653,GB74HVMV4142958530201
F0464,Madhavi Biswas,North Gujarat,4,2021-09-16,3,8556872224,GB69XLNY9351982113062
F0465,Dominic Mane,Central Gujarat,13,2021-09-08,16,1165835506,GB82QRAC5086720052027
F0466,Jagrati Wagle,Kutch,27,2024-11-16,8,5666133244,GB65HNRW4029915555121
F0467,Eta Sarna,Central Gujarat,17,2023-07-26,7,915590122918,GB80ZMDR9907764930746
F0468,Eesha Wable,North Gujarat,38,2023-01-22,13,9851470793,GB07CIMY5566250861056
F0469,Jhalak Cherian,Central Gujarat,23,2023-05-01,6,5473153125,GB73UFSJ9751560366270
F0470,Karan Keer,Kutch,30,2021-02-05,15,6926075868,GB29JEON0052905143688
F0471,Harini Grewal,Central Gujarat,15,2023-07-24,13,9960004095,GB62BJZT3712847691888
F0472,Upadhriti Vig,Saurashtra,29,2024-07-23,5,917424265068,GB75ZKRR6272928412542
F0473,Meera Kumar,Central Gujarat,6,2022-05-16,3,2495129255,GB11XVRB6834049382576
F0474,Nisha Hari,Saurashtra,48,2023-12-13,8,915727090973,GB37YPBN5396523766698
F0475,Pratyush Wali,Central Gujarat,31,2022-02-23,20,917912662270,GB76BDNU0901846009080
F0476,Zehaan Mukherjee,Kutch,47,2021-08-11,12,911354445916,GB26GWEU7362936888715
F0477,Oliver Edwin,South Gujarat,6,2023-06-26,7,918421622103,GB02RLTK9363231150475
F0478,Osha Sengupta,South Gujarat,13,2024-09-27,12,382923947,GB24CETU5681558644527
F0479,Yuvraj Kala,Saurashtra,17,2023-05-28,14,9446000251,GB80FQCB8816057595813
F0480,Pooja Bhatnagar,Saurashtra,27,2022-12-02,4,1731730364,GB44GPXG3027453215019
F0481,Jhalak Toor,South Gujarat,27,2024-02-26,15,916886436493,GB65HXKD1849259012017
F0482,Damini Arora,Kutch,49,2023-08-02,10,8325581677,GB13EPMT1959485433234
F0483,Rachita Batra,Kutch,22,2021-07-12,4,2893176394,GB57QTUC2758439029115
F0484,Aahana Venkatesh,Central Gujarat,40,2024-05-27,22,917869301556,GB96FEOB1587277894845
F0485,Rayaan Pillai,Saurashtra,37,2023-05-02,3,1496100302,GB41CLRS8383491358561
F0486,Bishakha Natarajan,Kutch,34,2024-10-22,7,911674402497,GB27CBDX5004572502711
F0487,Lucky Dugal,North Gujarat,31,2024-07-22,11,5624567484,GB32LJLS4064412368700
F0488,Ekantika Ramesh,Central Gujarat,38,2022-03-16,19,5582539768,GB35OBAQ1587163240757
F0489,Sachi Saran,Central Gujarat,24,2021-04-06,11,7619457852,GB15JEAU8731100202175
F0490,Ekavir Barman,South Gujarat,11,2023-06-03,13,8883432168,GB38NWFD3088437568199
F0491,Hardik Lata,Saurashtra,6,2021-10-23,17,3997189748,GB24BBTD1446988989723
F0492,Champak Lad,Kutch,37,2023-07-04,8,8878861020,GB03RQOJ4168103353097
F0493,Om Hegde,Kutch,35,2021-04-06,5,1003079144,GB08CJIJ5736345490571
F0494,Raghav Khosla,Central Gujarat,32,2022-09-02,19,2832110729,GB76HHAT4652757602483
F0495,Chaman Babu,Saurashtra,11,2024-04-26,7,871618,GB65XNYU1551764559764
F0496,Amrita Manda,Saurashtra,20,2023-01-12,14,7094283070,GB88TYOZ7182866116459
F0497,Zaid Baria,Saurashtra,33,2022-01-08,20,2778653589,GB09SLYB0598405986657
F0498,Guneet Raj,South Gujarat,2,2024-07-08,16,2430140252,GB68YUTE6638021000080
F0499,Ayush Shukla,Kutch,6,2022-05-27,23,1926775503,GB86XZTD2551780371912
F0500,Mahika Magar,Saurashtra,46,2021-11-07,13,69965073,GB70KXXJ0150878510191
